Date,AAPL,TSLA,MSFT,GOOG
2000-01-01,212.51,269.98,228.16,125.46
2000-01-02,213.72,266.73,226.34,123.29
2000-01-03,213.23,267.93,229.03,122.75
2000-01-04,214.4,263.62,229.71,122.62
2000-01-05,217.37,264.4,233.48,120.48
2000-01-06,215.54,266.2,232.53,119.33
2000-01-07,213.09,263.04,232.06,119.31
2000-01-08,218.08,258.66,231.43,119.57
2000-01-09,219.68,261.65,232.4,120.37
2000-01-10,215.61,260.89,228.22,119.99
2000-01-11,213.78,267.78,230.66,121.34
2000-01-12,211.61,266.82,233.68,121.51
2000-01-13,210.65,263.8,237.38,122.41
2000-01-14,210.12,266.19,238.72,122.61
2000-01-15,211.04,263.41,239.36,123.78
2000-01-16,207.04,267.88,238.78,124.33
2000-01-17,205.5,271.57,240.19,124.01
2000-01-18,206.55,267.12,245.28,122.85
2000-01-19,207.11,265.66,242.72,123.91
2000-01-20,206.51,265.24,241.05,125.72
2000-01-21,206.29,266.12,242.84,125.3
2000-01-22,209.27,269.43,244.22,126.1
2000-01-23,207.76,273.47,250.33,127.03
2000-01-24,207.37,271.47,251.15,128.65
2000-01-25,201.68,270.08,252.18,129.14
2000-01-26,200.23,270.94,253.04,129.2
2000-01-27,198.52,268.61,251.5,128.98
2000-01-28,199.72,270.63,248.56,129.23
2000-01-29,199.47,266.67,249.33,132.54
2000-01-30,198.88,265.23,254.02,130.53
2000-01-31,197.78,261.62,248.14,131.13
2000-02-01,195.62,266.85,247.82,130.65
2000-02-02,195.42,265.65,250.38,130.09
2000-02-03,199.09,265.69,246.61,132.28
2000-02-04,194.74,265.49,247.0,134.38
2000-02-05,195.24,267.33,243.55,136.33
2000-02-06,196.68,264.75,243.65,137.07
2000-02-07,196.94,265.3,245.86,137.45
2000-02-08,198.01,267.32,245.84,140.47
2000-02-09,200.62,268.18,245.59,139.14
2000-02-10,200.59,270.51,241.74,140.18
2000-02-11,201.58,271.44,238.63,140.89
2000-02-12,199.5,269.71,241.75,138.56
2000-02-13,197.71,268.28,241.96,140.56
2000-02-14,197.1,271.27,240.67,139.57
2000-02-15,196.56,269.92,241.84,139.27
2000-02-16,196.32,275.16,243.45,140.88
2000-02-17,197.58,271.32,246.42,140.59
2000-02-18,197.81,271.84,245.7,140.05
2000-02-19,195.31,270.78,244.58,142.18
2000-02-20,195.04,268.81,246.78,141.35
2000-02-21,195.68,268.21,242.95,141.38
2000-02-22,190.56,267.85,238.97,139.21
2000-02-23,190.08,273.05,241.46,140.5
2000-02-24,188.69,273.91,242.63,139.0
2000-02-25,187.01,272.8,241.5,137.52
2000-02-26,182.08,271.01,236.44,138.59
2000-02-27,184.46,276.12,237.32,139.12
2000-02-28,184.01,276.91,235.6,139.21
2000-02-29,182.21,278.86,237.35,137.91
2000-03-01,179.68,275.2,240.21,139.43
2000-03-02,174.85,278.3,241.46,138.88
2000-03-03,175.65,276.19,244.53,139.73
2000-03-04,174.37,281.27,246.79,141.54
2000-03-05,173.06,273.74,248.49,140.39
2000-03-06,174.24,274.13,248.05,139.33
2000-03-07,173.56,275.51,246.3,139.79
2000-03-08,172.26,279.33,248.13,140.66
2000-03-09,172.48,278.92,247.36,144.11
2000-03-10,176.31,284.05,250.72,142.82
2000-03-11,176.77,275.58,256.03,142.76
2000-03-12,176.92,273.76,254.86,144.46
2000-03-13,179.34,271.71,258.19,144.54
2000-03-14,179.69,272.04,258.32,145.22
2000-03-15,181.65,270.94,257.16,148.19
2000-03-16,180.17,271.47,255.88,149.22
2000-03-17,180.74,274.7,257.16,147.36
2000-03-18,182.68,279.07,259.73,145.64
2000-03-19,181.36,283.37,257.28,144.93
2000-03-20,185.07,279.85,254.64,145.59
2000-03-21,184.87,283.27,254.57,146.88
2000-03-22,183.82,278.57,254.2,145.59
2000-03-23,184.16,280.55,255.31,144.55
2000-03-24,184.29,278.75,255.85,144.56
2000-03-25,181.36,278.68,252.71,141.74
2000-03-26,180.44,275.23,253.8,141.78
2000-03-27,178.7,276.11,253.22,144.68
2000-03-28,179.91,277.63,252.88,146.71
2000-03-29,178.75,276.82,254.4,145.05
2000-03-30,177.91,273.68,252.17,143.72
2000-03-31,181.29,275.29,250.04,145.75
2000-04-01,182.47,277.12,249.97,145.23
2000-04-02,184.68,277.23,249.6,143.35
2000-04-03,181.02,276.85,251.48,143.82
2000-04-04,180.54,276.09,251.92,143.45
2000-04-05,182.93,273.71,249.84,145.44
2000-04-06,179.55,271.75,246.08,143.62
2000-04-07,182.69,270.54,243.32,143.42
2000-04-08,183.05,273.99,242.39,144.71
2000-04-09,181.12,280.44,239.07,144.6
2000-04-10,178.84,274.63,240.2,146.57
2000-04-11,180.67,272.84,241.21,146.07
2000-04-12,179.82,276.92,243.96,146.99
2000-04-13,184.79,278.84,248.34,146.94
2000-04-14,183.12,281.84,244.65,146.88
2000-04-15,184.38,283.15,242.9,148.4
2000-04-16,184.89,283.67,247.5,146.71
2000-04-17,188.03,287.46,250.18,143.33
2000-04-18,188.19,291.5,253.02,143.64
2000-04-19,187.01,291.89,253.0,145.02
2000-04-20,185.34,294.72,247.91,143.93
2000-04-21,185.62,294.43,250.23,144.89
2000-04-22,186.14,295.1,251.47,143.42
2000-04-23,185.68,295.01,255.26,140.73
2000-04-24,186.34,299.01,255.17,141.71
2000-04-25,184.05,297.47,252.98,142.98
2000-04-26,185.11,296.44,251.97,141.75
2000-04-27,185.98,294.96,255.46,141.61
2000-04-28,188.33,298.38,254.19,142.33
2000-04-29,185.48,297.94,256.84,142.38
2000-04-30,188.49,294.43,257.22,140.8
2000-05-01,189.44,297.13,260.46,140.9
2000-05-02,190.19,292.87,261.96,139.01
2000-05-03,191.32,292.3,264.0,140.11
2000-05-04,188.85,295.89,263.02,137.74
2000-05-05,187.61,298.96,266.24,137.05
2000-05-06,185.61,302.74,269.49,136.7
2000-05-07,186.52,304.76,269.15,135.01
2000-05-08,187.34,303.83,269.1,134.56
2000-05-09,187.32,301.27,266.76,134.98
2000-05-10,184.01,298.9,266.05,132.86
2000-05-11,185.93,299.26,265.88,133.76
2000-05-12,184.31,297.82,268.04,135.72
2000-05-13,181.3,298.23,270.28,134.46
2000-05-14,185.54,299.04,271.71,134.99
2000-05-15,188.93,300.64,271.86,135.73
2000-05-16,190.0,299.46,269.05,136.46
2000-05-17,189.08,298.39,266.47,137.59
2000-05-18,187.8,296.11,260.39,137.18
2000-05-19,186.09,298.28,258.58,138.17
2000-05-20,184.69,299.11,259.27,138.66
2000-05-21,182.94,298.63,259.87,138.74
2000-05-22,182.93,302.02,259.29,137.51
2000-05-23,183.18,303.54,261.14,139.56
2000-05-24,181.37,302.34,261.15,142.05
2000-05-25,182.79,293.52,263.55,142.57
2000-05-26,184.07,299.3,259.55,143.8
2000-05-27,181.19,292.45,257.21,143.38
2000-05-28,182.36,296.86,262.26,142.59
2000-05-29,183.76,306.44,260.53,143.57
2000-05-30,183.9,302.04,259.03,145.22
2000-05-31,181.47,300.55,256.81,142.32
2000-06-01,181.46,300.87,253.62,142.69
2000-06-02,182.18,303.04,253.26,144.09
2000-06-03,186.53,301.87,253.15,146.41
2000-06-04,185.58,300.97,252.38,146.65
2000-06-05,187.38,300.57,249.87,147.73
2000-06-06,185.05,298.27,250.52,149.31
2000-06-07,184.62,296.17,251.12,149.86
2000-06-08,186.19,296.86,249.39,150.67
