Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,MM,NN,OO,PP,QQ,RR,SS,TT,UU,VV,WW,XX,YY,ZZ
2000-01-01,86.72,248.33,165.15,283.22,203.08,218.37,89.03,238.0,174.12,216.79,108.41,61.75,177.25,124.33,307.65,112.98,120.25,124.02,103.48,173.44,58.94,156.27,146.87,115.57,71.15,66.71,87.74,55.15,53.92,283.87,76.94,274.41,82.29,276.82,57.57,295.23,98.48,233.87,145.15,221.58,79.18,92.65,109.66,127.59,204.13,147.64,293.36,294.22,282.16,127.43,73.54,248.89
2000-01-02,86.12,253.7,164.86,284.11,202.95,218.85,87.91,238.74,170.76,215.12,108.88,61.28,176.69,124.36,310.26,111.16,119.41,124.77,102.63,171.4,58.5,155.05,145.81,115.43,70.26,66.4,88.32,55.02,53.12,287.23,77.74,271.16,83.41,275.81,57.4,299.79,97.02,230.4,147.66,219.29,80.41,92.29,111.9,126.82,203.01,147.46,298.0,291.89,279.53,128.77,72.93,248.37
2000-01-03,86.08,256.8,165.32,287.19,204.56,219.2,87.73,239.32,170.32,216.0,109.44,61.06,175.74,124.34,307.04,110.54,119.53,123.8,101.49,171.72,58.47,157.33,143.35,114.51,70.3,66.28,91.06,54.8,52.41,288.9,78.73,269.03,82.89,278.14,56.61,301.56,97.25,230.14,148.13,219.32,79.99,91.01,113.24,126.51,205.09,148.65,299.7,286.01,282.36,128.53,73.05,248.38
2000-01-04,87.19,257.85,168.95,288.07,206.18,221.82,86.37,239.52,173.72,216.06,109.05,59.89,177.88,124.99,308.84,110.05,119.6,124.32,101.25,172.24,58.86,156.19,141.68,113.85,70.6,66.95,91.5,54.03,52.44,291.49,77.69,266.95,83.67,282.95,56.68,303.1,97.0,226.65,146.98,220.42,78.4,90.44,113.67,125.93,201.84,148.76,309.08,290.54,283.9,128.51,72.34,248.77
2000-01-05,84.93,258.34,171.28,289.55,200.42,227.16,86.18,236.66,174.18,215.82,108.56,60.07,176.25,122.4,311.73,110.1,120.4,124.16,101.91,169.41,58.74,156.8,141.82,114.82,70.62,67.51,91.1,54.29,52.6,294.25,76.15,267.5,85.14,278.5,56.04,304.35,96.47,226.01,148.5,220.29,77.74,90.74,113.73,123.82,202.06,149.44,304.74,294.9,281.29,130.19,72.4,248.9
2000-01-06,85.4,256.6,174.4,295.8,203.19,224.08,85.36,237.84,174.87,219.49,107.25,59.48,174.55,121.99,311.69,109.73,119.04,122.18,100.71,170.13,58.61,158.16,141.53,114.75,71.5,66.68,88.92,55.26,52.15,294.26,76.88,266.49,86.61,273.49,56.3,306.93,96.36,223.82,148.58,220.77,78.13,92.36,113.91,125.79,202.26,150.51,301.08,291.08,281.79,130.59,71.91,248.33
2000-01-07,84.54,253.42,172.54,293.59,204.44,226.44,86.57,236.98,176.43,216.1,107.45,59.67,172.59,120.68,310.23,110.14,120.62,121.95,102.08,166.67,58.7,156.74,144.2,116.79,71.16,66.8,88.27,55.92,53.25,296.98,78.37,268.31,86.73,274.43,55.19,308.58,96.45,225.14,148.61,221.98,79.45,91.91,113.62,124.84,203.87,151.39,302.75,290.43,279.5,131.29,71.81,246.66
2000-01-08,83.92,256.88,173.51,293.59,205.91,227.17,87.75,236.34,174.77,217.94,106.68,59.44,170.07,121.79,313.61,107.61,119.7,122.03,101.65,168.48,58.92,155.27,144.74,118.34,70.86,65.83,88.48,55.88,52.39,297.31,79.13,267.88,85.97,275.41,55.82,309.94,94.88,226.18,147.93,220.51,79.13,92.15,114.9,124.25,205.3,152.55,302.52,288.58,282.98,131.14,71.67,245.28
2000-01-09,83.35,256.89,174.4,297.31,209.72,223.3,88.34,239.98,175.46,216.96,107.2,59.91,169.5,121.17,313.8,108.62,120.2,119.65,102.98,169.57,58.14,154.98,144.21,119.39,70.25,66.56,87.25,55.83,51.92,299.83,79.25,269.38,85.23,268.5,54.86,311.03,94.79,226.76,148.17,225.06,78.95,92.08,113.39,123.26,206.92,151.14,299.29,289.17,280.64,130.61,72.23,245.6
2000-01-10,82.51,256.66,174.36,298.88,205.06,225.48,89.4,240.16,172.04,217.45,107.59,60.21,168.11,122.95,317.26,108.86,120.61,120.84,103.23,172.1,58.53,155.28,145.01,120.4,70.13,66.8,87.58,56.14,52.24,300.53,79.33,269.14,86.12,270.47,54.56,311.47,93.55,225.71,150.48,223.28,78.61,92.15,112.94,124.6,208.02,150.03,297.27,288.64,277.32,129.86,71.8,240.15
2000-01-11,82.57,255.67,170.75,300.42,206.24,226.9,89.34,236.49,171.11,217.74,108.97,60.85,170.77,124.73,317.51,107.73,119.82,119.44,102.3,170.88,58.46,156.61,142.64,118.2,69.08,66.63,87.58,55.41,51.23,301.7,79.59,266.96,85.97,271.33,55.64,309.89,93.21,227.7,152.53,222.77,79.4,92.05,111.85,124.86,205.97,150.73,294.54,287.88,276.62,132.08,70.55,239.68
2000-01-12,81.69,254.17,171.1,301.73,211.38,226.27,88.9,235.86,170.97,219.47,108.27,60.69,172.1,123.4,315.98,106.47,119.12,118.61,101.8,169.34,58.76,158.49,143.82,119.68,68.84,66.32,86.51,56.27,51.29,303.85,80.39,267.13,86.44,271.39,55.54,311.06,94.77,230.17,153.44,221.03,78.67,92.61,112.78,123.79,203.14,150.92,296.08,286.67,272.6,131.95,72.27,241.34
2000-01-13,81.19,254.95,172.73,301.95,210.42,227.45,87.18,237.69,172.8,220.47,108.23,61.14,173.57,121.75,317.07,105.84,120.93,117.87,101.47,167.11,58.33,156.11,144.91,121.41,68.98,66.55,87.92,55.81,51.93,301.89,81.16,267.6,86.34,271.14,55.02,307.18,93.39,230.3,152.68,216.92,77.47,94.81,113.23,126.47,203.76,149.34,294.8,290.6,269.22,131.03,72.61,241.75
2000-01-14,81.95,248.62,175.58,295.88,207.58,229.61,88.37,231.04,177.46,220.61,106.13,60.94,170.96,123.62,323.26,107.19,121.36,118.04,101.79,166.57,57.97,151.76,143.5,121.71,68.82,67.73,89.33,55.77,52.07,304.46,81.64,266.0,86.82,272.58,54.5,306.74,94.46,230.33,151.95,217.33,77.22,94.15,113.9,128.62,205.71,150.42,294.48,291.27,265.8,130.37,71.87,244.13
2000-01-15,82.67,253.14,176.05,301.17,209.22,230.54,88.37,230.86,176.81,222.99,105.19,60.94,174.67,125.61,327.08,105.91,123.15,116.61,100.41,167.0,58.78,153.72,141.92,125.05,68.2,66.46,87.9,55.69,52.36,306.38,81.21,268.44,86.01,273.2,53.5,311.64,94.88,229.51,150.37,214.32,76.69,94.91,113.87,127.85,202.05,152.2,295.7,289.8,268.16,130.66,72.72,240.03
2000-01-16,82.0,253.3,175.34,296.83,205.65,230.16,88.12,231.9,175.29,229.42,105.12,60.46,173.21,127.85,325.51,106.1,123.03,118.08,99.25,167.14,58.03,156.96,141.83,124.87,67.51,67.37,87.97,56.38,52.17,307.77,81.17,270.15,83.83,277.48,53.89,308.55,94.96,230.66,149.16,216.29,76.15,93.62,115.29,127.58,202.68,151.6,297.87,292.91,270.72,131.6,73.55,237.37
2000-01-17,81.4,250.8,175.03,299.18,205.26,229.07,88.14,233.19,176.31,225.49,106.07,60.37,171.8,128.91,323.77,105.89,123.11,118.26,98.46,167.22,58.77,156.52,141.11,124.62,67.98,68.12,86.49,55.95,51.81,303.64,81.68,270.79,82.99,278.16,54.93,305.55,94.02,229.58,151.31,219.77,76.51,94.14,116.47,127.8,205.56,152.23,298.03,292.03,273.53,130.24,74.02,239.36
2000-01-18,80.83,250.65,175.31,299.66,203.32,228.08,88.26,230.2,173.91,221.96,107.51,60.0,170.7,130.12,327.28,105.62,124.63,118.71,99.02,168.75,58.25,154.68,141.31,123.36,68.12,67.43,86.4,55.32,51.23,310.5,81.29,269.33,83.94,277.6,55.27,310.24,94.63,226.94,149.12,215.69,77.1,94.53,117.88,126.52,204.72,148.82,300.26,288.74,274.99,130.35,72.66,239.93
2000-01-19,80.7,248.8,174.8,304.45,202.13,227.2,88.38,231.87,171.98,218.64,107.98,60.92,172.15,130.47,323.77,104.84,125.15,119.47,99.35,169.61,57.19,154.47,142.26,123.95,68.69,66.86,86.17,54.82,51.35,314.33,81.85,269.78,86.09,278.27,55.1,306.72,92.64,223.51,149.24,217.51,75.95,94.97,117.13,126.68,202.36,148.77,301.82,285.38,274.64,132.5,72.37,237.5
2000-01-20,79.65,251.78,175.38,305.6,202.96,227.31,88.35,233.0,172.58,219.89,107.7,61.47,173.21,130.64,321.09,104.79,124.24,118.11,99.92,170.01,57.93,151.82,141.76,122.73,68.46,66.79,86.13,54.67,51.71,314.5,82.55,265.63,87.31,280.49,55.04,307.37,94.37,222.36,146.84,217.68,77.98,95.26,117.15,125.13,201.79,149.54,308.08,287.9,273.13,130.0,72.41,235.67
2000-01-21,78.98,250.75,177.91,307.12,203.9,228.88,88.55,233.92,172.58,219.95,108.25,62.21,173.06,129.96,325.73,105.37,123.51,118.67,100.05,167.39,58.27,151.94,141.19,122.76,67.55,67.5,86.12,55.07,50.83,313.74,82.53,264.45,87.16,281.24,56.04,300.92,94.02,222.84,145.59,215.88,76.55,95.97,116.58,123.81,207.1,149.27,314.24,287.85,274.85,128.77,71.76,239.15
2000-01-22,80.64,247.91,175.29,309.45,204.77,227.69,89.26,233.11,171.84,221.69,107.97,61.7,173.26,130.89,328.19,106.21,124.63,119.85,101.31,168.1,58.57,152.67,140.56,122.01,66.46,67.61,87.95,54.76,51.07,312.23,81.79,265.62,86.21,284.66,55.83,299.48,94.85,222.08,143.89,215.92,77.01,95.21,117.08,122.61,206.26,149.42,313.12,286.85,276.71,130.04,70.65,238.22
2000-01-23,81.28,245.82,174.13,309.72,204.59,231.31,88.0,234.67,172.52,217.28,107.84,62.43,177.32,130.8,321.83,106.49,125.44,121.56,99.41,167.92,58.59,155.15,140.75,120.96,66.51,67.4,88.41,54.53,51.54,310.36,81.66,262.51,87.05,282.24,54.53,298.63,94.82,222.6,143.64,213.54,76.48,94.73,114.18,123.09,210.92,149.98,315.31,286.03,279.22,130.63,70.69,237.75
2000-01-24,82.29,242.24,176.83,305.08,205.54,229.96,87.88,236.82,169.48,222.05,108.4,62.11,177.97,129.67,323.87,106.62,123.73,119.88,100.5,169.77,57.81,156.81,140.22,119.75,66.44,66.47,89.02,53.77,50.6,313.24,81.25,262.29,87.44,287.39,55.29,294.21,94.3,221.55,142.4,215.57,75.51,93.32,114.03,121.69,208.24,147.99,316.56,286.6,276.79,129.44,71.12,234.74
2000-01-25,81.94,242.81,178.15,304.53,206.05,228.31,87.88,236.78,168.56,217.69,108.04,61.77,180.1,132.32,320.96,107.48,123.87,118.68,97.87,168.63,58.29,154.71,140.47,120.73,66.81,66.01,89.63,53.38,49.74,310.84,81.09,264.3,87.02,287.14,55.52,294.26,94.73,223.38,143.69,212.85,76.83,91.64,113.66,120.82,208.4,146.14,314.33,282.15,275.75,129.04,70.76,237.96
2000-01-26,83.8,242.95,178.99,308.19,207.65,226.31,87.69,234.7,169.16,216.77,107.67,62.34,180.36,132.74,321.83,107.37,122.57,117.35,96.88,167.83,58.0,154.97,139.13,119.25,66.8,66.39,89.5,53.58,50.06,310.14,82.03,261.8,87.49,289.07,54.93,298.03,94.67,224.72,143.72,215.15,76.89,91.35,114.37,121.15,207.75,147.22,316.99,281.33,273.04,126.75,70.26,242.73
2000-01-27,84.71,242.19,178.29,308.21,205.87,225.72,86.33,231.82,169.8,213.45,105.78,62.48,180.3,133.45,322.21,108.33,122.08,117.95,96.24,169.32,57.52,153.87,140.58,119.83,67.91,65.2,88.3,53.62,50.59,305.72,82.49,262.94,87.23,288.74,54.65,296.52,97.31,227.68,142.14,216.24,77.38,91.87,114.71,120.64,211.86,147.35,316.84,281.71,271.05,125.2,71.46,245.53
2000-01-28,85.68,240.28,175.3,308.1,203.67,227.55,85.9,231.55,168.59,211.29,104.83,63.61,181.17,133.45,323.14,108.09,121.8,118.86,95.5,165.96,56.68,153.51,141.87,120.29,67.54,65.04,88.62,52.72,49.98,306.1,82.54,269.23,87.33,285.6,54.73,299.05,97.89,228.92,144.27,217.15,76.29,91.84,113.62,119.65,211.39,148.1,316.77,279.28,269.57,126.14,70.33,245.35
2000-01-29,87.16,239.2,176.34,306.26,206.43,224.42,84.89,229.09,168.19,209.12,105.53,64.44,180.71,133.3,321.07,106.74,121.22,116.37,95.99,166.52,57.03,155.39,141.63,122.88,66.9,64.58,88.84,52.44,49.75,311.84,84.07,272.85,87.8,288.45,54.87,298.64,96.31,229.96,144.53,217.85,75.37,90.95,115.26,118.74,212.02,149.21,315.39,279.45,267.7,127.56,69.81,249.97
2000-01-30,88.25,240.38,179.02,301.72,205.71,229.66,85.64,227.96,171.74,205.15,106.37,63.84,181.32,133.28,320.79,108.66,121.09,116.57,97.2,169.97,57.34,156.3,140.03,122.52,68.3,65.52,88.63,52.0,49.6,311.94,85.69,274.89,87.86,287.46,53.83,298.13,93.38,230.46,144.91,217.51,76.08,90.11,116.02,121.38,213.58,148.79,316.5,276.27,269.08,128.14,69.56,250.33
2000-01-31,89.27,241.67,182.5,306.88,206.87,226.79,86.12,231.42,171.29,202.79,106.09,62.96,179.25,131.64,321.35,109.44,121.72,115.19,97.58,167.81,58.14,157.93,140.56,122.87,67.89,66.08,89.83,51.61,50.05,312.32,85.93,275.39,87.25,289.17,52.85,298.3,92.97,230.54,146.91,218.11,74.6,88.83,114.04,123.6,215.69,150.55,314.4,278.93,269.7,128.22,69.38,248.71
2000-02-01,87.15,240.74,185.32,310.47,208.54,227.31,87.17,232.3,175.3,203.72,106.91,63.48,179.37,130.41,320.67,110.04,121.11,114.8,96.66,168.46,56.49,158.04,141.42,123.42,68.08,65.96,90.28,52.94,49.61,318.84,86.46,270.6,87.99,286.67,52.68,300.18,93.67,233.37,148.29,222.26,75.29,89.0,115.11,122.13,217.04,149.01,321.84,282.21,264.75,128.67,69.92,245.67
2000-02-02,86.34,243.37,189.24,315.06,205.42,230.23,87.23,231.13,177.48,208.12,106.22,64.42,177.8,130.21,325.39,111.2,120.45,116.36,96.15,168.04,56.17,158.1,141.34,122.56,67.95,65.48,91.6,52.55,49.67,316.02,87.12,267.09,87.34,288.62,52.47,298.52,93.02,232.24,150.27,225.39,75.21,88.32,114.33,122.8,220.61,150.19,324.84,279.05,264.14,127.95,69.94,241.49
2000-02-03,86.71,244.48,188.66,314.92,201.02,231.29,86.92,229.76,176.65,207.14,106.48,64.52,179.28,129.55,322.28,111.97,119.67,115.6,97.28,169.9,55.94,158.46,141.91,123.8,68.75,65.79,93.27,53.16,48.67,314.72,87.88,268.22,86.59,290.57,52.45,301.54,91.58,234.15,151.87,228.34,75.32,88.67,114.46,122.24,222.35,150.01,324.44,279.96,264.1,127.44,69.05,242.99
2000-02-04,86.83,247.54,187.55,317.49,204.41,234.68,87.02,227.92,175.86,209.38,106.33,65.32,180.85,130.1,328.73,112.09,120.3,116.09,98.47,166.7,56.62,158.95,142.73,125.5,68.95,65.24,92.27,53.51,48.6,310.99,88.51,266.8,86.31,286.64,53.2,298.77,92.45,231.31,149.43,226.81,74.63,89.83,114.34,121.15,222.62,149.42,324.61,283.23,262.14,127.19,69.67,245.79
2000-02-05,88.14,245.81,184.59,325.54,205.12,235.27,87.97,227.9,176.91,209.01,108.81,64.82,182.02,130.91,332.46,112.06,120.04,116.5,95.83,170.6,56.84,158.72,145.14,126.79,70.01,65.79,90.89,54.3,47.86,312.72,88.79,268.95,84.72,283.62,53.07,298.09,92.38,231.58,148.44,229.37,74.4,90.59,113.03,120.83,219.2,148.29,327.9,283.71,257.85,126.83,69.01,247.28
2000-02-06,88.14,250.08,185.28,332.22,206.23,235.77,89.8,224.89,175.88,205.18,109.05,65.05,181.24,130.04,332.74,112.95,119.71,116.38,95.4,170.51,57.49,158.08,146.03,127.28,69.41,65.83,90.94,54.69,47.82,313.43,89.49,269.31,84.79,287.77,52.53,294.19,92.76,228.63,149.39,228.72,75.07,89.49,113.99,120.28,221.65,146.94,327.48,280.47,259.34,125.8,69.91,248.77
2000-02-07,87.27,252.06,189.05,331.85,207.54,237.58,91.01,218.79,178.91,204.6,109.4,65.2,179.19,130.39,333.61,114.25,118.69,115.61,96.26,172.46,57.17,161.52,146.45,124.61,68.71,65.97,90.57,54.5,47.9,320.91,90.04,269.26,84.58,286.68,51.63,294.6,91.51,231.6,149.2,227.04,75.09,89.07,113.56,119.19,221.61,144.12,329.39,279.98,256.11,124.73,69.67,245.81
2000-02-08,87.74,253.07,188.5,334.28,207.58,239.4,89.7,218.75,177.3,205.91,109.92,65.68,180.65,129.14,331.11,112.88,119.47,115.13,96.43,172.23,56.55,162.73,145.15,123.56,68.61,65.11,89.33,54.0,47.73,318.5,90.13,271.4,85.17,284.36,51.35,302.63,90.56,231.68,146.86,229.16,75.79,90.1,112.54,119.63,220.24,142.96,328.76,279.95,255.32,124.4,69.49,246.0
2000-02-09,87.46,256.29,190.47,336.57,204.6,236.63,91.03,220.17,176.31,205.45,110.94,65.28,181.22,130.68,335.41,112.22,119.05,114.35,95.66,171.41,56.13,163.43,144.97,124.56,67.97,66.16,88.69,54.34,46.85,320.14,89.02,274.16,84.76,279.44,50.68,299.52,89.89,229.68,145.57,229.63,75.29,91.19,113.38,121.33,219.47,142.48,335.69,284.37,251.99,124.78,69.35,247.24
2000-02-10,88.01,257.49,191.48,333.72,203.84,236.21,92.38,221.36,176.47,206.77,112.09,64.83,184.34,132.55,336.27,112.77,121.06,113.29,95.77,172.58,55.37,163.83,147.13,124.5,69.71,66.91,88.75,54.84,46.7,317.81,89.31,276.77,85.01,278.64,51.64,301.64,89.53,228.13,144.69,227.01,75.37,92.94,113.93,123.6,216.9,141.56,342.03,283.14,251.69,124.56,69.42,247.32
2000-02-11,88.09,260.34,191.94,329.74,204.87,235.88,92.66,223.94,178.52,207.68,110.49,65.76,181.9,132.6,334.26,113.39,118.62,114.86,95.23,171.9,54.29,161.98,145.07,125.1,69.54,67.02,87.71,54.01,46.09,317.66,87.87,276.45,84.78,275.45,51.83,301.94,86.78,225.43,143.17,227.35,76.33,92.96,115.91,123.32,218.81,140.59,340.97,283.75,252.09,124.2,70.19,245.71
2000-02-12,87.69,264.85,193.75,334.11,204.86,237.87,93.66,220.28,175.36,208.24,110.33,64.18,179.8,133.09,331.05,111.55,119.39,116.37,94.32,170.4,54.48,159.27,144.35,126.16,69.34,66.48,87.94,53.71,46.5,316.44,88.02,277.96,85.11,277.48,51.7,302.53,84.92,225.72,143.79,227.7,76.16,92.71,116.99,124.9,217.96,136.66,342.73,282.95,251.19,123.82,70.8,247.86
2000-02-13,88.62,271.54,192.07,332.63,209.74,239.98,93.21,216.85,175.58,211.09,112.65,62.69,178.04,133.38,330.9,111.58,120.21,115.81,93.12,170.11,54.13,160.19,143.06,127.3,69.05,66.45,87.74,53.04,46.11,311.35,87.14,277.5,84.4,279.22,51.22,301.24,84.83,221.12,143.96,227.63,76.51,91.75,117.27,124.15,216.93,138.1,346.32,285.22,253.74,122.37,69.87,244.34
2000-02-14,89.06,269.88,191.97,335.39,210.61,239.74,93.71,216.17,175.24,206.51,111.2,62.28,179.31,134.12,327.53,111.79,121.17,115.84,91.88,170.06,53.23,159.16,141.56,126.37,68.44,65.5,88.49,53.22,44.96,310.64,87.09,278.35,84.05,283.51,51.79,307.39,84.73,219.08,143.92,226.92,77.04,91.73,118.14,123.72,216.38,138.76,342.8,279.57,253.13,122.27,68.9,242.47
2000-02-15,90.2,268.63,194.12,334.61,211.18,242.64,92.4,215.26,175.07,206.51,111.19,62.93,181.21,134.15,321.45,112.32,122.03,116.26,92.16,169.64,53.09,157.34,142.23,123.96,67.66,65.13,88.3,53.63,44.64,315.02,88.26,279.03,85.27,279.34,51.42,304.67,85.41,219.29,144.1,227.11,77.24,91.78,117.37,123.36,217.53,135.7,344.39,278.63,251.52,121.3,69.8,241.56
2000-02-16,89.65,270.97,195.36,333.18,210.65,246.82,92.26,215.62,172.18,207.69,112.53,62.8,183.01,133.38,325.22,111.69,121.18,114.37,93.96,168.39,53.05,155.19,143.59,123.16,67.32,64.83,87.79,54.53,43.98,316.81,88.0,280.0,85.44,282.96,50.52,300.63,85.63,217.38,143.99,228.45,77.24,92.44,120.1,122.58,218.04,135.88,350.53,276.1,253.72,122.67,71.13,241.44
2000-02-17,87.59,270.76,191.9,331.2,209.5,240.96,91.44,216.15,174.11,208.68,112.69,62.73,185.21,132.88,323.41,110.07,119.46,114.48,95.67,167.55,52.98,155.03,143.76,120.36,67.67,64.22,87.51,54.94,44.59,317.22,87.15,284.59,85.05,287.71,49.56,300.04,85.43,217.97,145.16,227.95,77.7,93.99,119.16,123.04,221.11,137.32,354.36,275.1,249.09,122.63,71.42,239.72
2000-02-18,88.25,271.0,192.59,333.7,209.94,245.21,89.9,218.4,173.66,208.13,113.59,63.45,186.64,133.17,330.33,108.48,118.4,116.77,94.97,167.58,52.71,156.1,144.21,121.38,67.96,62.67,87.63,55.3,43.96,313.31,86.67,283.76,85.89,287.85,49.48,303.94,85.98,219.31,144.43,226.61,77.52,93.87,118.75,123.68,221.26,137.02,349.43,277.1,248.45,120.45,72.12,239.55
2000-02-19,87.77,268.33,191.68,332.29,208.15,246.16,91.12,220.54,173.68,211.01,113.1,62.28,185.34,130.93,331.83,107.75,117.26,116.6,94.33,165.69,52.85,157.97,141.73,121.68,68.31,61.7,87.31,54.68,43.66,310.77,86.61,281.18,86.74,290.94,49.31,304.56,85.0,219.0,144.0,224.64,76.48,93.38,119.3,124.56,224.03,137.36,348.8,282.71,247.8,119.53,72.73,242.33
